name,distortion,level,level_numeric,snr_db_distorted,snr_db_restored,snr_gain_db,clean_path,distorted_path,restored_path
P2278,haze,0.5,0.5,5.838380669868601,10.624488509055245,4.786107839186644,data/clean/test/images/P2278.png,data/distorted/haze/0.5/test/images/P2278.png,data/restored/haze/0.5/test/images/P2278.png
P2332,haze,0.5,0.5,5.9761552615503435,10.83285451475861,4.856699253208267,data/clean/test/images/P2332.png,data/distorted/haze/0.5/test/images/P2332.png,data/restored/haze/0.5/test/images/P2332.png
P2352,haze,0.5,0.5,3.9654789895446925,11.60041792239537,7.634938932850677,data/clean/test/images/P2352.png,data/distorted/haze/0.5/test/images/P2352.png,data/restored/haze/0.5/test/images/P2352.png
P2456,haze,0.5,0.5,2.9845441851226093,24.764350560336524,21.779806375213916,data/clean/test/images/P2456.png,data/distorted/haze/0.5/test/images/P2456.png,data/restored/haze/0.5/test/images/P2456.png
P2528,haze,0.5,0.5,2.2747921538620504,11.831193215815897,9.556401061953848,data/clean/test/images/P2528.png,data/distorted/haze/0.5/test/images/P2528.png,data/restored/haze/0.5/test/images/P2528.png
P2591,haze,0.5,0.5,2.9597437639520887,13.353803284181895,10.394059520229806,data/clean/test/images/P2591.png,data/distorted/haze/0.5/test/images/P2591.png,data/restored/haze/0.5/test/images/P2591.png
P2613,haze,0.5,0.5,-2.371584975023479,14.512377818746241,16.88396279376972,data/clean/test/images/P2613.png,data/distorted/haze/0.5/test/images/P2613.png,data/restored/haze/0.5/test/images/P2613.png
P2724,haze,0.5,0.5,4.913293274855296,9.673403532376058,4.760110257520762,data/clean/test/images/P2724.png,data/distorted/haze/0.5/test/images/P2724.png,data/restored/haze/0.5/test/images/P2724.png
P2754,haze,0.5,0.5,7.085367568586637,10.476863756073406,3.3914961874867693,data/clean/test/images/P2754.png,data/distorted/haze/0.5/test/images/P2754.png,data/restored/haze/0.5/test/images/P2754.png
P0063,haze,1.0,1.0,3.2152907323175235,25.771189694540368,22.555898962222845,data/clean/test/images/P0063.png,data/distorted/haze/1.0/test/images/P0063.png,data/restored/haze/1.0/test/images/P0063.png
P0081,haze,1.0,1.0,-3.1948242776147207,12.907103378170806,16.101927655785527,data/clean/test/images/P0081.png,data/distorted/haze/1.0/test/images/P0081.png,data/restored/haze/1.0/test/images/P0081.png
P0198,haze,1.0,1.0,-0.9654949811926767,17.830063297973823,18.7955582791665,data/clean/test/images/P0198.png,data/distorted/haze/1.0/test/images/P0198.png,data/restored/haze/1.0/test/images/P0198.png
P0308,haze,1.0,1.0,-2.9190371885040136,13.51204060800264,16.431077796506653,data/clean/test/images/P0308.png,data/distorted/haze/1.0/test/images/P0308.png,data/restored/haze/1.0/test/images/P0308.png
P0336,haze,1.0,1.0,-5.685767931132608,17.93370136612381,23.619469297256416,data/clean/test/images/P0336.png,data/distorted/haze/1.0/test/images/P0336.png,data/restored/haze/1.0/test/images/P0336.png
P0345,haze,1.0,1.0,-3.499576451740745,13.941677223735159,17.441253675475902,data/clean/test/images/P0345.png,data/distorted/haze/1.0/test/images/P0345.png,data/restored/haze/1.0/test/images/P0345.png
P0363,haze,1.0,1.0,-3.3391959508826394,13.791872542689243,17.13106849357188,data/clean/test/images/P0363.png,data/distorted/haze/1.0/test/images/P0363.png,data/restored/haze/1.0/test/images/P0363.png
P0368,haze,1.0,1.0,-2.839968472432817,12.226791376654289,15.066759849087106,data/clean/test/images/P0368.png,data/distorted/haze/1.0/test/images/P0368.png,data/restored/haze/1.0/test/images/P0368.png
P0377,haze,1.0,1.0,-4.45875790958379,13.617961521708645,18.076719431292435,data/clean/test/images/P0377.png,data/distorted/haze/1.0/test/images/P0377.png,data/restored/haze/1.0/test/images/P0377.png
P0452,haze,1.0,1.0,-1.306448816763698,16.37465013229153,17.68109894905523,data/clean/test/images/P0452.png,data/distorted/haze/1.0/test/images/P0452.png,data/restored/haze/1.0/test/images/P0452.png
P0517,haze,1.0,1.0,-2.6337791285198087,18.33499353725124,20.96877266577105,data/clean/test/images/P0517.png,data/distorted/haze/1.0/test/images/P0517.png,data/restored/haze/1.0/test/images/P0517.png
P0565,haze,1.0,1.0,-6.024823907121242,18.039335396261123,24.064159303382365,data/clean/test/images/P0565.png,data/distorted/haze/1.0/test/images/P0565.png,data/restored/haze/1.0/test/images/P0565.png
P0649,haze,1.0,1.0,-5.212375653973553,10.273189708587152,15.485565362560706,data/clean/test/images/P0649.png,data/distorted/haze/1.0/test/images/P0649.png,data/restored/haze/1.0/test/images/P0649.png
P0699,haze,1.0,1.0,-3.286180707927388,8.88903243913447,12.175213147061857,data/clean/test/images/P0699.png,data/distorted/haze/1.0/test/images/P0699.png,data/restored/haze/1.0/test/images/P0699.png
P0806,haze,1.0,1.0,1.2793212425153024,12.601728199358446,11.322406956843142,data/clean/test/images/P0806.png,data/distorted/haze/1.0/test/images/P0806.png,data/restored/haze/1.0/test/images/P0806.png
P1003,haze,1.0,1.0,-7.224242106734896,13.12770363392449,20.351945740659385,data/clean/test/images/P1003.png,data/distorted/haze/1.0/test/images/P1003.png,data/restored/haze/1.0/test/images/P1003.png
P1029,haze,1.0,1.0,-2.6859680983951346,18.664380049539172,21.350348147934305,data/clean/test/images/P1029.png,data/distorted/haze/1.0/test/images/P1029.png,data/restored/haze/1.0/test/images/P1029.png
P1148,haze,1.0,1.0,1.2663023037089949,8.082467600706416,6.81616529699742,data/clean/test/images/P1148.png,data/distorted/haze/1.0/test/images/P1148.png,data/restored/haze/1.0/test/images/P1148.png
P1158,haze,1.0,1.0,-2.263395040683667,10.20918129580561,12.472576336489277,data/clean/test/images/P1158.png,data/distorted/haze/1.0/test/images/P1158.png,data/restored/haze/1.0/test/images/P1158.png
P1207,haze,1.0,1.0,11.096570809192324,6.407253748294497,-4.689317060897826,data/clean/test/images/P1207.png,data/distorted/haze/1.0/test/images/P1207.png,data/restored/haze/1.0/test/images/P1207.png
P1216,haze,1.0,1.0,10.626127382201172,6.176497334846086,-4.449630047355086,data/clean/test/images/P1216.png,data/distorted/haze/1.0/test/images/P1216.png,data/restored/haze/1.0/test/images/P1216.png
P1242,haze,1.0,1.0,3.7656718704473113,5.893715047225841,2.12804317677853,data/clean/test/images/P1242.png,data/distorted/haze/1.0/test/images/P1242.png,data/restored/haze/1.0/test/images/P1242.png
P1358,haze,1.0,1.0,2.2343840047325108,9.426604432501158,7.192220427768647,data/clean/test/images/P1358.png,data/distorted/haze/1.0/test/images/P1358.png,data/restored/haze/1.0/test/images/P1358.png
P1522,haze,1.0,1.0,-3.4716154371810086,9.217699442198322,12.689314879379332,data/clean/test/images/P1522.png,data/distorted/haze/1.0/test/images/P1522.png,data/restored/haze/1.0/test/images/P1522.png
P1676,haze,1.0,1.0,2.0568380606665446,6.6586058676854325,4.601767807018888,data/clean/test/images/P1676.png,data/distorted/haze/1.0/test/images/P1676.png,data/restored/haze/1.0/test/images/P1676.png
P1693,haze,1.0,1.0,-1.9092666431754388,9.944992642994382,11.854259286169821,data/clean/test/images/P1693.png,data/distorted/haze/1.0/test/images/P1693.png,data/restored/haze/1.0/test/images/P1693.png
P1960,haze,1.0,1.0,-3.059641652799325,16.907307497079415,19.96694914987874,data/clean/test/images/P1960.png,data/distorted/haze/1.0/test/images/P1960.png,data/restored/haze/1.0/test/images/P1960.png
P2002,haze,1.0,1.0,0.7178100141676964,15.915836067751755,15.198026053584059,data/clean/test/images/P2002.png,data/distorted/haze/1.0/test/images/P2002.png,data/restored/haze/1.0/test/images/P2002.png
