name,n_keypoints,mean_response
P0063,1000,0.0027924364075588527
P0081,1000,0.002284362955077086
P0198,1000,0.0021038264304806945
P0308,1000,0.0007596129121684498
P0336,1000,0.002543107279314427
P0345,1000,0.0006248513076952804
P0363,1000,0.0028772430179997174
P0368,1000,0.001436833243664296
P0377,1000,0.0002559143676021449
P0452,1000,0.0035547034446790347
P0517,1000,0.005123793842678424
P0565,1000,0.0014772021128592315
P0649,1000,0.0003808534604365832
P0699,1000,0.006615474897553213
P0806,1000,0.0011250802638751339
P1003,1000,0.0013729733785730787
P1029,1000,0.0022262355017883236
P1148,228,8.486510830981555e-05
P1158,306,2.718602175173443e-05
P1207,15,7.225230536770747e-06
P1216,23,2.3975016881155646e-06
P1242,519,9.15270568800506e-05
P1358,1000,0.0001757590536681164
P1522,969,8.863782892476273e-05
P1676,246,1.6566299936170905e-05
P1693,421,2.3486818707575064e-05
P1960,1000,0.008011645368067548
P2002,1000,0.005248072973219678
P2045,1000,0.0014464889053488151
P2210,1000,0.0036706150609243197
P2257,1000,0.0012519785554759436
P2278,1000,0.0013043134579493198
P2332,1000,0.0006658395502599887
P2352,1000,0.0009015445179211383
P2456,1000,0.002069261788215954
P2528,1000,0.002078022467525443
P2591,1000,0.0018616916209139164
P2613,1000,0.006051825196540449
P2724,1000,0.0005763544330766308
P2754,1000,0.0007979684386227745
