class_id,class_name,n_gt_px,f_score
0,plane,64509,0.06297000108536666
1,ship,5474,0.024318447670050147
2,storage-tank,5526,0.05639141682536253
3,baseball-diamond,19516,0.016580583872140058
4,tennis-court,194379,0.07803360372696283
5,basketball-court,12744,0.07422509254747334
6,ground-track-field,29502,0.02167323367800505
7,harbor,140055,0.0725519537939474
8,bridge,7670,0.06806343761572085
9,large-vehicle,86840,0.06906722339669527
10,small-vehicle,115861,0.08328041089004039
11,helicopter,0,
12,roundabout,10922,0.025069908490235094
13,soccer-ball-field,27994,0.02230281826989919
14,swimming-pool,52001,0.08417965342175447
