name,n_dets,mean_conf
P0063,13,0.5246421098709106
P0081,0,0.0
P0198,19,0.9067927002906799
P0308,4,0.3225913941860199
P0336,8,0.5927883386611938
P0345,4,0.5131075382232666
P0363,27,0.7381892800331116
P0368,11,0.7424344420433044
P0377,7,0.8484882712364197
P0452,3,0.7888612151145935
P0517,11,0.6252837181091309
P0565,6,0.5477336645126343
P0649,4,0.9140008687973022
P0699,12,0.7869642376899719
P0806,10,0.8779095411300659
P1003,7,0.7272443771362305
P1029,19,0.6964395642280579
P1148,2,0.7319815158843994
P1158,4,0.41695135831832886
P1207,0,0.0
P1216,1,0.40635091066360474
P1242,4,0.6708685159683228
P1358,12,0.6744420528411865
P1522,3,0.6738946437835693
P1676,1,0.5587571263313293
P1693,0,0.0
P1960,67,0.7214547991752625
P2002,36,0.8020567297935486
P2045,25,0.6077597141265869
P2210,52,0.7290109395980835
P2257,41,0.4559553563594818
P2278,3,0.6202380657196045
P2332,17,0.39598143100738525
P2352,4,0.4786290228366852
P2456,1,0.33695414662361145
P2528,1,0.2552318871021271
P2591,1,0.3373347222805023
P2613,39,0.6431214213371277
P2724,2,0.31627780199050903
P2754,5,0.36562615633010864
