class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,69,0.8632365387178461
1,ship,6,10,0.41666666666666663
2,storage-tank,15,4,0.26666666666666666
3,baseball-diamond,11,3,0.2727272727272727
4,tennis-court,87,58,0.6533888228299642
5,basketball-court,6,2,0.3333333333333333
6,ground-track-field,9,2,0.2222222222222222
7,harbor,48,42,0.7270130131641872
8,bridge,10,8,0.6499999999999999
9,large-vehicle,57,94,0.6458922795359203
10,small-vehicle,175,138,0.5110377941427926
11,helicopter,0,0,
12,roundabout,5,1,0.2
13,soccer-ball-field,7,2,0.2857142857142857
14,swimming-pool,64,15,0.21770833333333334
