name,edge_pixel_frac,mean_response
P0063,0.6427822113037109,90.03026580810547
P0081,0.21129989624023438,29.28497314453125
P0198,0.4768352508544922,67.2398328781128
P0308,0.2311420440673828,30.802209854125977
P0336,0.2214670181274414,31.117587089538574
P0345,0.21586227416992188,27.794998168945312
P0363,0.2995147705078125,38.45698070526123
P0368,0.32971954345703125,41.86076641082764
P0377,0.1687459945678711,21.492239952087402
P0452,0.34155845642089844,46.743099212646484
P0517,0.507044792175293,70.90818405151367
P0565,0.2080821990966797,26.135360717773438
P0649,0.14323043823242188,18.262818336486816
P0699,0.11383914947509766,16.966544151306152
P0806,0.34321117401123047,44.47374153137207
P1003,0.23228836059570312,29.732008934020996
P1029,0.37117671966552734,50.583091735839844
P1148,0.15651893615722656,15.954459190368652
P1158,0.1859426498413086,19.841113090515137
P1207,4.76837158203125e-05,0.09708786010742188
P1216,0.006562232971191406,3.130429267883301
P1242,0.2337627410888672,24.205787658691406
P1358,0.5215997695922852,54.217485427856445
P1522,0.30661964416503906,28.997507095336914
P1676,0.18761825561523438,18.765480041503906
P1693,0.06807994842529297,8.635820388793945
P1960,0.38946056365966797,52.98453330993652
P2002,0.4144754409790039,59.869171142578125
P2045,0.20896148681640625,27.855305671691895
P2210,0.3936882019042969,51.24682807922363
P2257,0.2919883728027344,36.90879249572754
P2278,0.2131328582763672,26.719770431518555
P2332,0.7363061904907227,80.37106323242188
P2352,0.5816106796264648,68.02179908752441
P2456,0.7601308822631836,94.31059265136719
P2528,0.4497213363647461,54.345306396484375
P2591,0.3762083053588867,52.30546188354492
P2613,0.24024105072021484,33.87684154510498
P2724,0.5891304016113281,58.099602699279785
P2754,0.5783329010009766,64.56988334655762
