class_id,class_name,n_gt_px,f_score
0,plane,64509,0.05959683558615535
1,ship,5474,0.024528787974911127
2,storage-tank,5526,0.052737008191992625
3,baseball-diamond,19516,0.019558549561101396
4,tennis-court,194379,0.07967538061755006
5,basketball-court,12744,0.0750454356907042
6,ground-track-field,29502,0.02223629242455455
7,harbor,140055,0.07194199046621841
8,bridge,7670,0.06806756094904169
9,large-vehicle,86840,0.06803661896634315
10,small-vehicle,115861,0.08253142550732585
11,helicopter,0,
12,roundabout,10922,0.02503804197573399
13,soccer-ball-field,27994,0.022167969093171803
14,swimming-pool,52001,0.0829257098159801
