name,n_dets,mean_conf
P0063,12,0.4849643409252167
P0081,0,0.0
P0198,19,0.9044846892356873
P0308,1,0.30300989747047424
P0336,7,0.6773881912231445
P0345,4,0.4744948446750641
P0363,25,0.7486988306045532
P0368,10,0.7785413861274719
P0377,6,0.8962592482566833
P0452,4,0.6676865220069885
P0517,10,0.6198197603225708
P0565,4,0.6098067760467529
P0649,4,0.904710054397583
P0699,10,0.8749681711196899
P0806,10,0.8614727854728699
P1003,7,0.7516332864761353
P1029,19,0.6915763020515442
P1148,2,0.7352398633956909
P1158,4,0.47458723187446594
P1207,0,0.0
P1216,0,0.0
P1242,3,0.6772484183311462
P1358,10,0.6649998426437378
P1522,1,0.3336164951324463
P1676,1,0.5208356976509094
P1693,1,0.26839858293533325
P1960,65,0.7346150875091553
P2002,35,0.8119458556175232
P2045,23,0.62859046459198
P2210,54,0.7050042748451233
P2257,41,0.44765275716781616
P2278,5,0.5095214247703552
P2332,5,0.3530867099761963
P2352,4,0.3998614549636841
P2456,1,0.32038968801498413
P2528,0,0.0
P2591,0,0.0
P2613,38,0.672433078289032
P2724,0,0.0
P2754,3,0.394341379404068
