class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,46,0.8263310185185185
1,ship,6,5,0.5
2,storage-tank,15,6,0.31111111111111106
3,baseball-diamond,11,0,0.0
4,tennis-court,87,149,0.5457533360775682
5,basketball-court,6,0,0.0
6,ground-track-field,9,1,0.1111111111111111
7,harbor,48,40,0.6476325403744758
8,bridge,10,7,0.41428571428571426
9,large-vehicle,57,114,0.6882141252282252
10,small-vehicle,175,66,0.33210986371036066
11,helicopter,0,1,0.0
12,roundabout,5,2,0.4
13,soccer-ball-field,7,4,0.2857142857142857
14,swimming-pool,64,2,0.03125
