name,edge_pixel_frac,mean_response
P0063,0.7377691268920898,92.10388088226318
P0081,0.24549388885498047,31.15740966796875
P0198,0.5198984146118164,60.49981880187988
P0308,0.3375091552734375,36.774810791015625
P0336,0.34360313415527344,37.50867748260498
P0345,0.47475719451904297,48.20535469055176
P0363,0.3254566192626953,35.557793617248535
P0368,0.3964500427246094,41.83790969848633
P0377,0.15908241271972656,17.250433921813965
P0452,0.4050579071044922,44.68968391418457
P0517,0.6011266708374023,72.22268104553223
P0565,0.2614479064941406,27.460835456848145
P0649,0.17492103576660156,20.87978458404541
P0699,0.16102886199951172,20.496044158935547
P0806,0.3253135681152344,37.424516677856445
P1003,0.2795600891113281,31.336722373962402
P1029,0.4292736053466797,52.444668769836426
P1148,0.015615463256835938,2.0633115768432617
P1158,0.04417991638183594,5.522891044616699
P1207,0.0,0.1391439437866211
P1216,0.0006666183471679688,0.37796497344970703
P1242,0.1952829360961914,18.525519371032715
P1358,0.622981071472168,54.30539798736572
P1522,0.36925506591796875,33.32413291931152
P1676,0.3762073516845703,31.850077629089355
P1693,0.39402294158935547,31.129070281982422
P1960,0.51190185546875,55.51852321624756
P2002,0.42666053771972656,51.040849685668945
P2045,0.2982063293457031,34.40206432342529
P2210,0.3964958190917969,48.18173122406006
P2257,0.3890666961669922,43.741435050964355
P2278,0.2011709213256836,22.4464111328125
P2332,0.41919898986816406,39.64139747619629
P2352,0.4984397888183594,51.18946075439453
P2456,0.8758363723754883,96.47632598876953
P2528,0.515995979309082,53.41265106201172
P2591,0.5321941375732422,62.340898513793945
P2613,0.29773426055908203,34.74836349487305
P2724,0.3212566375732422,30.03770160675049
P2754,0.48874473571777344,47.66033744812012
