name,n_dets,mean_conf
P0063,0,0.0
P0081,0,0.0
P0198,0,0.0
P0308,0,0.0
P0336,5,0.6264371275901794
P0345,0,0.0
P0363,9,0.635511040687561
P0368,2,0.5307875275611877
P0377,1,0.7551173567771912
P0452,0,0.0
P0517,7,0.5002532601356506
P0565,1,0.36453089118003845
P0649,0,0.0
P0699,9,0.8546268343925476
P0806,3,0.6016469597816467
P1003,4,0.5740489363670349
P1029,6,0.39720991253852844
P1148,0,0.0
P1158,0,0.0
P1207,0,0.0
P1216,0,0.0
P1242,0,0.0
P1358,0,0.0
P1522,0,0.0
P1676,0,0.0
P1693,0,0.0
P1960,34,0.5728673338890076
P2002,30,0.5637967586517334
P2045,0,0.0
P2210,26,0.6903902888298035
P2257,1,0.9271096587181091
P2278,2,0.5647211074829102
P2332,0,0.0
P2352,0,0.0
P2456,0,0.0
P2528,0,0.0
P2591,0,0.0
P2613,27,0.6694183945655823
P2724,0,0.0
P2754,0,0.0
