name,ods_threshold,ods_f_score
P0063,175,0.26549825245912206
P0081,42,0.08768388937416535
P0198,20,0.1658363414121816
P0308,20,0.050001833865943215
P0336,20,0.10677929058298188
P0345,20,0.08014900573345121
P0363,20,0.2564799409693494
P0368,20,0.1752786408779569
P0377,20,0.0018114894683085698
P0452,20,0.04304683472464659
P0517,101,0.2300786702149281
P0565,131,0.11976067376598021
P0649,20,0.07719824615815994
P0699,20,0.08892134884952908
P0806,20,0.14040908204239924
P1003,108,0.11176956322168341
P1029,123,0.09165993532519469
P1148,20,0.023070921822796176
P1158,20,0.1477862793145738
P1207,20,1.0
P1216,20,0.0
P1242,20,0.09154657620452576
P1358,20,0.0009346314325452017
P1522,20,0.0
P1676,20,0.0
P1693,20,1.0
P1960,27,0.5067540230200512
P2002,64,0.29704832891333016
P2045,20,0.16301055669270692
P2210,42,0.21091613337126544
P2257,20,0.14692041361023128
P2278,20,0.0957067969711619
P2332,20,0.08687627047785305
P2352,20,0.0
P2456,108,0.0044413141882371845
P2528,116,0.020818381547233724
P2591,20,0.10817468466310136
P2613,101,0.4113798128590639
P2724,20,0.029045902718196463
P2754,20,0.001986223177711171
