class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,47,0.8517541486291486
1,ship,6,12,0.41666666666666663
2,storage-tank,15,22,0.6038880509468744
3,baseball-diamond,11,0,0.0
4,tennis-court,87,116,0.8389251320285803
5,basketball-court,6,2,0.3333333333333333
6,ground-track-field,9,3,0.18518518518518517
7,harbor,48,43,0.733725480130009
8,bridge,10,3,0.3
9,large-vehicle,57,86,0.6871006778724007
10,small-vehicle,175,168,0.6719478082978735
11,helicopter,0,0,
12,roundabout,5,0,0.0
13,soccer-ball-field,7,4,0.39285714285714285
14,swimming-pool,64,3,0.046875
