name,ods_threshold,ods_f_score
P0063,220,0.22543827519650317
P0081,175,0.08264564724960886
P0198,153,0.37488605082403487
P0308,20,0.11142483203293271
P0336,79,0.08395321624186487
P0345,197,0.06357240630418128
P0363,79,0.2288043421592681
P0368,20,0.16115376688060384
P0377,20,0.13279605451435042
P0452,20,0.0638025466182346
P0517,227,0.1892534658257161
P0565,212,0.09999821988701718
P0649,131,0.3823701969475455
P0699,20,0.1006256547780566
P0806,20,0.14221110705988363
P1003,227,0.11282198361625469
P1029,227,0.1043989347846058
P1148,20,0.023460548632698593
P1158,34,0.14265558503853987
P1207,20,1.0
P1216,20,0.0
P1242,168,0.15623886841252285
P1358,146,0.15568302789529662
P1522,20,0.012904620737842074
P1676,20,0.010630889271045038
P1693,183,1.0
P1960,116,0.35155444822779675
P2002,20,0.20646978970444355
P2045,64,0.18836548817833002
P2210,190,0.15219044574671597
P2257,20,0.1248748055200817
P2278,205,0.1412602650740316
P2332,86,0.03084413337896297
P2352,57,0.00595990508682515
P2456,49,0.005307558189157306
P2528,146,0.02393577795668719
P2591,205,0.10667283905569824
P2613,205,0.2739658695328905
P2724,160,0.051247751232648145
P2754,49,0.0031234407335508302
