class_id,class_name,n_gt_px,f_score
0,plane,64509,0.05307991905391495
1,ship,5474,0.005149622798498612
2,storage-tank,5526,0.033549238030891854
3,baseball-diamond,19516,0.02675429423072432
4,tennis-court,194379,0.07252522960436744
5,basketball-court,12744,0.05748227983083526
6,ground-track-field,29502,0.021920029771580366
7,harbor,140055,0.07949998630732504
8,bridge,7670,0.06162451944348916
9,large-vehicle,86840,0.0742842374750379
10,small-vehicle,115861,0.07066384484139168
11,helicopter,0,
12,roundabout,10922,0.02106266867233829
13,soccer-ball-field,27994,0.021917740912658745
14,swimming-pool,52001,0.07437516968033961
