name,edge_pixel_frac,mean_response
P0063,0.6126794815063477,75.93701648712158
P0081,0.24785995483398438,28.201387405395508
P0198,0.48987865447998047,56.194610595703125
P0308,0.2145528793334961,24.24016761779785
P0336,0.21771526336669922,26.387056350708008
P0345,0.23901939392089844,25.34253978729248
P0363,0.3209085464477539,34.23111915588379
P0368,0.31906795501708984,34.34171009063721
P0377,0.2702951431274414,28.719651222229004
P0452,0.3924369812011719,47.59316062927246
P0517,0.3998222351074219,45.71794414520264
P0565,0.21528339385986328,22.021121978759766
P0649,0.16922283172607422,17.87203025817871
P0699,0.12275886535644531,16.38087272644043
P0806,0.4157247543334961,44.01691246032715
P1003,0.1792144775390625,19.828094482421875
P1029,0.30908775329589844,33.540127754211426
P1148,0.22443485260009766,23.81861114501953
P1158,0.2735404968261719,26.9950532913208
P1207,0.0001811981201171875,0.16640186309814453
P1216,0.0001659393310546875,0.19946861267089844
P1242,0.12980175018310547,15.345264434814453
P1358,0.41181182861328125,41.75936412811279
P1522,0.15382957458496094,15.80945873260498
P1676,0.2028484344482422,19.338851928710938
P1693,0.07758045196533203,8.753718376159668
P1960,0.3715324401855469,44.31186008453369
P2002,0.43839073181152344,55.66171073913574
P2045,0.1827564239501953,19.745031356811523
P2210,0.4421253204345703,49.171507835388184
P2257,0.27150440216064453,29.691216468811035
P2278,0.17044353485107422,18.63084602355957
P2332,0.23152637481689453,22.994019508361816
P2352,0.46210384368896484,44.28986644744873
P2456,0.40869617462158203,41.03576946258545
P2528,0.3735189437866211,39.52768802642822
P2591,0.3837862014770508,41.217437744140625
P2613,0.21361446380615234,26.42912483215332
P2724,0.23518848419189453,22.79795551300049
P2754,0.3605928421020508,35.849406242370605
