name,ods_threshold,ods_f_score
P0063,205,0.18571489832989516
P0081,34,0.06936496649349788
P0198,108,0.30166544566236286
P0308,20,0.1108124792777244
P0336,79,0.08889520114114667
P0345,131,0.053942399831390674
P0363,57,0.17759790774908693
P0368,20,0.1488589380498144
P0377,101,0.09526469688804166
P0452,20,0.05823590230714489
P0517,183,0.15623434884623524
P0565,183,0.10839254054668276
P0649,108,0.24176761574464684
P0699,20,0.08083190630243722
P0806,101,0.09071396780680636
P1003,175,0.09407258877232232
P1029,175,0.17877464864588086
P1148,20,0.04522791658220925
P1158,131,0.035260783269400985
P1207,57,1.0
P1216,20,0.47650531570232063
P1242,101,0.05372495771201147
P1358,138,0.11865578998036896
P1522,86,0.045554655044544576
P1676,20,0.007942416495170886
P1693,183,1.0
P1960,146,0.30081038775827273
P2002,183,0.24258621997178018
P2045,27,0.16973909065061135
P2210,123,0.1053594472077079
P2257,27,0.11411722623926383
P2278,146,0.11888074888167723
P2332,57,0.030397700194481698
P2352,20,0.004538326500724842
P2456,131,0.017779504173580516
P2528,20,0.02438844244369764
P2591,108,0.09054886236297598
P2613,138,0.2135436501593005
P2724,138,0.04644272707807135
P2754,20,0.0028321762982665313
