class_id,class_name,n_gt_px,f_score
0,plane,64509,0.0568102266281129
1,ship,5474,0.04547018303584868
2,storage-tank,5526,0.016536941834652142
3,baseball-diamond,19516,0.02934761941487897
4,tennis-court,194379,0.08678613374337832
5,basketball-court,12744,0.0822741900070515
6,ground-track-field,29502,0.02110430021078822
7,harbor,140055,0.07765861358938617
8,bridge,7670,0.08122614816665212
9,large-vehicle,86840,0.07296047918501697
10,small-vehicle,115861,0.07951166835898472
11,helicopter,0,
12,roundabout,10922,0.024696804589197065
13,soccer-ball-field,27994,0.024571731224448286
14,swimming-pool,52001,0.08052842790451986
