name,ods_threshold,ods_f_score
P0063,212,0.24603997871071437
P0081,79,0.07497013523348824
P0198,146,0.4204708051362316
P0308,27,0.13786793519099674
P0336,64,0.0869895319315911
P0345,20,0.06557514388360837
P0363,57,0.19183907443633458
P0368,27,0.1590297678423284
P0377,34,0.13337082663563662
P0452,20,0.0450558973942632
P0517,212,0.1739482473331775
P0565,183,0.1136223853299139
P0649,123,0.3538080283291977
P0699,20,0.07675782123321657
P0806,49,0.14680786370194987
P1003,205,0.09192712187297712
P1029,197,0.14522692783028796
P1148,20,0.02581048243581307
P1158,64,0.0824749853819828
P1207,94,1.0
P1216,116,0.28250934773577063
P1242,116,0.0446047724511796
P1358,101,0.13036649278994905
P1522,57,0.07616236372635211
P1676,86,0.022627127982278266
P1693,168,1.0
P1960,116,0.32268784271614726
P2002,183,0.21991015750057688
P2045,57,0.1780617637735807
P2210,131,0.10318262432314458
P2257,20,0.12414800420031957
P2278,160,0.1539099839490646
P2332,71,0.018268284961666437
P2352,20,0.003672672285519737
P2456,20,0.004778750636750083
P2528,183,0.02576623886530392
P2591,131,0.10200487398556526
P2613,153,0.2093191245968843
P2724,131,0.040615621096155956
P2754,42,0.0027637532666669597
