name,n_keypoints,mean_response
P0063,1000,0.0015526783256063937
P0081,1000,0.0010452461592540202
P0198,1000,0.0012313866901095024
P0308,1000,0.0006530842409629258
P0336,1000,0.0014976402712782147
P0345,1000,0.0004069465828488319
P0363,1000,0.001931837530237317
P0368,1000,0.0009954194156780432
P0377,1000,0.00012867335174853256
P0452,1000,0.0019784837057886763
P0517,1000,0.00300466180787771
P0565,1000,0.001034340299334872
P0649,1000,0.00036724889177463637
P0699,1000,0.007893573740613646
P0806,1000,0.0009747269374565803
P1003,1000,0.0008878749971700017
P1029,1000,0.0014923586156219244
P1148,443,0.00010903336238032406
P1158,751,7.45225786216965e-05
P1207,577,7.290533063399954e-06
P1216,691,6.252510799944115e-06
P1242,1000,0.00016638560040519224
P1358,1000,0.00037955562655952237
P1522,1000,0.0001336431066042678
P1676,712,2.3619728136106035e-05
P1693,659,2.3620422503094845e-05
P1960,1000,0.005155914618051611
P2002,1000,0.0043870981462532654
P2045,1000,0.0009607767026427609
P2210,1000,0.00315694385804818
P2257,1000,0.000704803681037447
P2278,1000,0.0011224399205093504
P2332,1000,0.0007411182736686896
P2352,1000,0.0007705697357923782
P2456,1000,0.0012373628615023335
P2528,1000,0.00145864202309167
P2591,1000,0.0010974928062714752
P2613,1000,0.003965858720504912
P2724,1000,0.0008218299149739323
P2754,1000,0.0010741798293893226
