class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,50,0.89258069828722
1,ship,6,7,0.7380952380952381
2,storage-tank,15,23,0.860479797979798
3,baseball-diamond,11,9,0.7272727272727273
4,tennis-court,87,87,0.9649763353617308
5,basketball-court,6,5,0.8333333333333334
6,ground-track-field,9,8,0.8888888888888888
7,harbor,48,44,0.7919962645572403
8,bridge,10,9,0.9
9,large-vehicle,57,79,0.691392240410069
10,small-vehicle,175,141,0.6708251274423905
11,helicopter,0,0,
12,roundabout,5,2,0.2
13,soccer-ball-field,7,4,0.5714285714285714
14,swimming-pool,64,14,0.18149038461538464
