class_id,class_name,n_gt_px,f_score
0,plane,64509,0.06968765788971157
1,ship,5474,0.02811053144260743
2,storage-tank,5526,0.03786944251220138
3,baseball-diamond,19516,0.01903743534811705
4,tennis-court,194379,0.07806733066974038
5,basketball-court,12744,0.07553205019409903
6,ground-track-field,29502,0.02836202076138653
7,harbor,140055,0.06101611554233962
8,bridge,7670,0.08170313967674128
9,large-vehicle,86840,0.0596232850457996
10,small-vehicle,115861,0.08240187756405556
11,helicopter,0,
12,roundabout,10922,0.028985963129234085
13,soccer-ball-field,27994,0.027369802622416478
14,swimming-pool,52001,0.07883979415247035
