class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,48,0.9097761148066024
1,ship,6,5,0.37777777777777777
2,storage-tank,15,4,0.2
3,baseball-diamond,11,0,0.0
4,tennis-court,87,69,0.6799012991487452
5,basketball-court,6,0,0.0
6,ground-track-field,9,1,0.1111111111111111
7,harbor,48,48,0.7022212299143195
8,bridge,10,10,0.31666666666666665
9,large-vehicle,57,119,0.48504276251289163
10,small-vehicle,175,84,0.38900067344543515
11,helicopter,0,0,
12,roundabout,5,3,0.2
13,soccer-ball-field,7,4,0.03571428571428571
14,swimming-pool,64,23,0.011904761904761904
