class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,67,0.8531976744186046
1,ship,6,26,0.35416666666666663
2,storage-tank,15,2,0.13333333333333333
3,baseball-diamond,11,0,0.0
4,tennis-court,87,16,0.1724137931034483
5,basketball-court,6,0,0.0
6,ground-track-field,9,0,0.0
7,harbor,48,293,0.2619285873584593
8,bridge,10,1,0.1
9,large-vehicle,57,100,0.7736105979514268
10,small-vehicle,175,252,0.44790863032679457
11,helicopter,0,0,
12,roundabout,5,0,0.0
13,soccer-ball-field,7,0,0.0
14,swimming-pool,64,424,0.05236740159848123
