name,n_dets,mean_conf
P0063,41,0.41455963253974915
P0081,2,0.32773953676223755
P0198,51,0.4914809465408325
P0308,29,0.38507357239723206
P0336,34,0.4156509339809418
P0345,58,0.4471493661403656
P0363,47,0.4523487389087677
P0368,19,0.3930973410606384
P0377,16,0.33961302042007446
P0452,5,0.5170645117759705
P0517,64,0.4945065975189209
P0565,21,0.3977733850479126
P0649,3,0.6096712946891785
P0699,15,0.6594507098197937
P0806,23,0.4506469666957855
P1003,14,0.5641516447067261
P1029,38,0.5063530802726746
P1148,0,0.0
P1158,3,0.560039222240448
P1207,0,0.0
P1216,0,0.0
P1242,3,0.4171006381511688
P1358,13,0.34847715497016907
P1522,7,0.29924026131629944
P1676,3,0.4463958740234375
P1693,0,0.0
P1960,80,0.6510335206985474
P2002,49,0.6616966128349304
P2045,28,0.4048318564891815
P2210,51,0.6867594122886658
P2257,10,0.36558860540390015
P2278,27,0.42029112577438354
P2332,71,0.3986269533634186
P2352,37,0.3476840555667877
P2456,106,0.5237818956375122
P2528,28,0.32623499631881714
P2591,44,0.45353686809539795
P2613,48,0.5411739349365234
P2724,41,0.3846982419490814
P2754,52,0.3680436313152313
