name,n_dets,mean_conf
P0063,14,0.5252863764762878
P0081,0,0.0
P0198,20,0.8868123292922974
P0308,4,0.3848419785499573
P0336,8,0.5574992895126343
P0345,4,0.5590488910675049
P0363,29,0.7414877414703369
P0368,11,0.7084840536117554
P0377,8,0.7803268432617188
P0452,4,0.7122069597244263
P0517,13,0.624360203742981
P0565,5,0.6430370211601257
P0649,4,0.9172918200492859
P0699,12,0.8009558320045471
P0806,10,0.8820686340332031
P1003,6,0.7855830192565918
P1029,19,0.6873682737350464
P1148,2,0.7286649942398071
P1158,3,0.46022120118141174
P1207,0,0.0
P1216,0,0.0
P1242,7,0.5342646241188049
P1358,12,0.7161529064178467
P1522,3,0.6312490701675415
P1676,2,0.44379812479019165
P1693,0,0.0
P1960,71,0.7073299884796143
P2002,36,0.8003444075584412
P2045,25,0.6343926787376404
P2210,50,0.7425580620765686
P2257,45,0.45100486278533936
P2278,3,0.6165835857391357
P2332,17,0.4172927737236023
P2352,3,0.5585004687309265
P2456,0,0.0
P2528,1,0.2976124882698059
P2591,1,0.37208840250968933
P2613,40,0.6476141214370728
P2724,1,0.3764282166957855
P2754,4,0.3710389733314514
