class_id,class_name,n_gt_px,f_score
0,plane,64509,0.06404416591867387
1,ship,5474,0.022131324171278315
2,storage-tank,5526,0.05679370901382517
3,baseball-diamond,19516,0.016265830016748868
4,tennis-court,194379,0.0772171855479845
5,basketball-court,12744,0.07575486239644813
6,ground-track-field,29502,0.02099361669420279
7,harbor,140055,0.07156912369257115
8,bridge,7670,0.06795183303032823
9,large-vehicle,86840,0.06962404567572941
10,small-vehicle,115861,0.08438603193985751
11,helicopter,0,
12,roundabout,10922,0.02494289534582192
13,soccer-ball-field,27994,0.022060282487465246
14,swimming-pool,52001,0.08480536681708913
