class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,78,0.8608270202020202
1,ship,6,9,0.4583333333333333
2,storage-tank,15,8,0.5333333333333333
3,baseball-diamond,11,5,0.45454545454545453
4,tennis-court,87,55,0.619435736677116
5,basketball-court,6,2,0.3333333333333333
6,ground-track-field,9,3,0.3333333333333333
7,harbor,48,42,0.7179319827346142
8,bridge,10,10,0.7333333333333333
9,large-vehicle,57,100,0.6444685344408335
10,small-vehicle,175,163,0.5771810734552107
11,helicopter,0,0,
12,roundabout,5,1,0.2
13,soccer-ball-field,7,2,0.2857142857142857
14,swimming-pool,64,19,0.24402412280701755
