class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,50,0.8909244317882192
1,ship,6,8,0.7380952380952381
2,storage-tank,15,7,0.4666666666666667
3,baseball-diamond,11,8,0.7272727272727273
4,tennis-court,87,95,0.9296184738955823
5,basketball-court,6,1,0.16666666666666666
6,ground-track-field,9,8,0.6507936507936507
7,harbor,48,42,0.7343790468790469
8,bridge,10,7,0.5857142857142856
9,large-vehicle,57,110,0.6759754477462908
10,small-vehicle,175,88,0.4317105045393523
11,helicopter,0,0,
12,roundabout,5,5,0.2
13,soccer-ball-field,7,8,0.3928571428571428
14,swimming-pool,64,8,0.08723958333333333
