class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,45,0.8958333333333334
1,ship,6,4,0.2777777777777778
2,storage-tank,15,12,0.6606060606060605
3,baseball-diamond,11,5,0.36363636363636365
4,tennis-court,87,82,0.918972525932156
5,basketball-court,6,3,0.5
6,ground-track-field,9,6,0.5
7,harbor,48,44,0.7469519859225742
8,bridge,10,8,0.8
9,large-vehicle,57,72,0.7411006202841833
10,small-vehicle,175,125,0.6088122605021116
11,helicopter,0,0,
12,roundabout,5,2,0.4
13,soccer-ball-field,7,6,0.42857142857142855
14,swimming-pool,64,9,0.1232638888888889
