class_id,class_name,n_gt_px,f_score
0,plane,64509,0.056139731979851844
1,ship,5474,0.07596579704045442
2,storage-tank,5526,0.034156442883349916
3,baseball-diamond,19516,0.0329717005891737
4,tennis-court,194379,0.08488421736142207
5,basketball-court,12744,0.07741951430692808
6,ground-track-field,29502,0.030228326217626094
7,harbor,140055,0.0698521013976001
8,bridge,7670,0.0668851012102331
9,large-vehicle,86840,0.0533348783806627
10,small-vehicle,115861,0.07439871453708147
11,helicopter,0,
12,roundabout,10922,0.02617090040899872
13,soccer-ball-field,27994,0.03132110784010628
14,swimming-pool,52001,0.07638641778640916
