name,n_dets,mean_conf
P0063,2,0.3357246518135071
P0081,0,0.0
P0198,0,0.0
P0308,1,0.3225143253803253
P0336,0,0.0
P0345,0,0.0
P0363,1,0.5142747163772583
P0368,2,0.4510229229927063
P0377,0,0.0
P0452,2,0.466705322265625
P0517,1,0.4164063632488251
P0565,1,0.4013992249965668
P0649,1,0.29103031754493713
P0699,3,0.4002341032028198
P0806,0,0.0
P1003,0,0.0
P1029,2,0.3067525625228882
P1148,0,0.0
P1158,0,0.0
P1207,0,0.0
P1216,0,0.0
P1242,0,0.0
P1358,0,0.0
P1522,1,0.4631041884422302
P1676,0,0.0
P1693,0,0.0
P1960,5,0.3294917345046997
P2002,3,0.27717065811157227
P2045,1,0.2640228271484375
P2210,1,0.5373075008392334
P2257,1,0.46888720989227295
P2278,0,0.0
P2332,0,0.0
P2352,0,0.0
P2456,0,0.0
P2528,2,0.2864411473274231
P2591,2,0.30417004227638245
P2613,2,0.42076802253723145
P2724,1,0.2575879395008087
P2754,0,0.0
